PERMNO,start,ending
18143.0,2018-10-31,2023-12-29
18163.0,1957-03-01,2023-12-29
18312.0,2021-07-21,2023-12-29
18327.0,2019-02-08,2019-02-08
18403.0,1957-03-01,2013-11-29
18411.0,1944-06-07,2023-12-29
18420.0,2019-03-19,2023-12-29
18421.0,2019-03-19,2023-12-29
18428.0,2019-04-02,2023-12-29
18542.0,1957-03-01,2023-12-29
18576.0,2023-12-18,2023-12-29
18578.0,2019-05-23,2019-05-23
18592.0,2019-06-03,2023-12-29
18724.0,2019-06-11,2023-12-29
18729.0,1957-03-01,2023-12-29
19166.0,2009-08-19,2023-12-29
19285.0,2020-04-03,2023-12-29
19286.0,2020-04-03,2023-12-29
19350.0,1957-03-01,2023-12-29
19393.0,1957-03-01,2023-12-29
19502.0,1979-10-11,2023-12-29
19561.0,1957-03-01,2023-12-29
19583.0,2008-08-21,2023-12-29
19807.0,2020-10-09,2021-03-19
20057.0,2020-11-17,2023-12-29
20190.0,2023-09-18,2023-12-29
20191.0,2020-12-15,2020-12-18
20220.0,1976-01-15,2010-03-12
20415.0,2007-08-27,2019-09-25
20482.0,1957-03-01,2023-12-29
20626.0,1954-04-20,2017-08-31
21020.0,2015-03-23,2023-12-29
21124.0,2021-06-03,2023-10-17
21178.0,1984-07-19,2023-12-29
21186.0,1957-03-01,2023-12-29
21207.0,1969-05-15,2023-12-29
21371.0,1997-05-27,2023-12-29
21573.0,1925-12-31,2023-12-29
21776.0,1944-06-07,2023-12-29
21792.0,1985-07-25,2023-12-29
21936.0,1957-03-01,2023-12-29
21979.0,1957-03-01,2009-09-08
21979.0,2011-11-23,2012-11-30
22103.0,1965-01-07,2023-12-29
22111.0,1973-05-31,2023-12-29
22293.0,1957-03-01,2023-12-29
22509.0,1957-03-01,2023-12-29
22517.0,1995-11-27,2023-12-29
22592.0,1957-03-01,2023-12-29
22623.0,2022-02-02,2023-12-29
22752.0,1957-03-01,2023-12-29
22779.0,1957-03-01,2023-12-29
22840.0,1981-09-10,2012-06-28
22976.0,2022-04-11,2023-12-29
