PERMNO,start,ending
87657.0,2011-04-01,2023-12-29
87717.0,2007-10-10,2023-12-29
87842.0,2000-12-11,2023-12-29
88031.0,2012-06-29,2023-12-29
88182.0,2022-06-21,2023-12-29
88281.0,2021-05-14,2023-12-29
88313.0,2000-07-13,2011-11-22
88352.0,2008-06-02,2023-12-29
88436.0,2015-01-27,2017-03-01
88446.0,2015-11-19,2023-12-29
88590.0,2008-12-02,2017-04-04
88661.0,2004-09-01,2023-12-29
88664.0,2018-11-13,2023-12-29
88668.0,2002-08-14,2018-06-06
88837.0,2012-12-12,2023-12-29
88845.0,2000-12-14,2018-11-30
88853.0,2000-12-22,2019-06-03
88860.0,2017-06-19,2023-12-29
88873.0,2016-04-25,2023-12-29
88991.0,2006-11-20,2014-09-19
89002.0,2013-12-23,2020-06-19
89003.0,2006-11-10,2023-12-29
89004.0,2009-06-05,2017-01-13
89006.0,2007-04-02,2023-12-29
89014.0,2001-07-02,2018-11-30
89017.0,2016-01-05,2023-12-29
89031.0,2023-05-04,2023-12-29
89070.0,2001-08-07,2023-12-29
89071.0,2011-07-06,2023-12-29
89105.0,2011-02-28,2015-10-07
89138.0,2023-03-15,2023-12-29
89179.0,2002-07-25,2023-12-29
89195.0,2002-07-22,2023-12-29
89216.0,2016-05-03,2018-06-15
89217.0,2015-07-09,2023-08-24
89258.0,2002-07-22,2023-12-29
89269.0,2016-03-30,2023-12-29
89301.0,2007-12-14,2016-04-22
89393.0,2010-12-20,2023-12-29
89463.0,2004-10-27,2009-07-24
89508.0,2010-06-28,2023-12-29
89509.0,2014-06-23,2020-03-02
89525.0,2002-11-19,2023-12-29
89533.0,2008-11-14,2023-12-29
89565.0,2015-09-21,2015-12-11
89617.0,2015-03-23,2023-12-29
89626.0,2006-08-11,2023-12-29
89641.0,2012-07-02,2023-12-29
89757.0,2005-03-28,2012-09-04
89781.0,2022-03-02,2023-12-29
89813.0,2003-08-20,2012-04-03
89866.0,2016-05-23,2023-12-29
89954.0,2006-12-04,2015-07-28
90038.0,2007-04-10,2023-12-29
90071.0,2010-01-29,2023-12-29
90090.0,2021-12-20,2023-03-14
90110.0,2004-05-03,2015-09-02
90162.0,2005-12-02,2015-11-17
90199.0,2006-11-10,2023-12-29
90215.0,2008-09-15,2023-12-29
90248.0,2020-05-12,2023-12-29
90272.0,2018-09-17,2020-01-27
90305.0,2016-01-19,2023-12-29
90319.0,2006-04-03,2023-12-29
90352.0,2000-10-03,2009-12-18
90373.0,2016-05-18,2023-12-29
90386.0,2011-09-26,2023-12-29
90441.0,2004-12-20,2019-03-19
90442.0,2015-09-21,2019-03-19
90454.0,2019-07-01,2023-12-29
90455.0,2021-02-12,2023-12-29
90505.0,2019-10-03,2023-12-29
90520.0,2018-12-24,2023-12-29
90537.0,2001-01-16,2009-03-26
90537.0,2011-01-18,2015-07-17
90547.0,2011-06-02,2012-10-01
90601.0,2008-10-22,2023-12-29
90609.0,1991-11-01,2011-04-27
90664.0,2020-05-12,2023-12-29
90720.0,2023-12-18,2023-12-29
90805.0,2010-03-01,2022-04-08
90808.0,2007-10-02,2023-12-29
90829.0,2008-08-27,2023-12-29
90880.0,2005-10-03,2023-12-29
90979.0,2014-05-01,2022-06-17
90993.0,2007-09-26,2023-12-29
91041.0,2019-12-23,2023-12-29
91063.0,2006-01-03,2019-12-04
91068.0,2011-04-28,2023-12-29
91103.0,2015-09-03,2023-12-29
91143.0,2007-10-25,2013-11-12
91152.0,2016-06-03,2023-12-29
91207.0,2006-04-10,2016-09-22
91218.0,2006-05-18,2009-06-30
91233.0,2008-07-18,2023-12-29
91391.0,2006-07-18,2015-04-06
91392.0,2006-08-01,2018-05-30
91416.0,2015-03-23,2021-12-17
91461.0,2006-10-02,2021-12-17
91547.0,2009-12-21,2013-09-20
91547.0,2019-08-09,2023-12-29
91556.0,2009-12-21,2023-12-29
91611.0,2009-10-16,2017-03-17
91611.0,2022-12-19,2023-12-29
91650.0,2007-01-03,2017-02-27
91668.0,2018-03-07,2022-06-17
91849.0,2018-06-18,2023-12-29
91883.0,2009-03-30,2016-05-17
91926.0,2013-09-11,2023-12-29
91937.0,2009-06-30,2013-04-30
91937.0,2019-07-15,2023-12-29
92050.0,2023-03-15,2023-12-29
92108.0,2023-09-18,2023-12-29
92121.0,2007-07-02,2023-12-29
92156.0,2007-07-02,2009-06-04
92156.0,2011-03-01,2015-01-26
92157.0,2007-07-02,2009-06-25
92157.0,2011-10-17,2023-12-29
92203.0,2023-10-18,2023-12-29
92239.0,2016-02-22,2021-01-20
92293.0,2007-10-01,2017-06-16
92322.0,2016-04-18,2023-12-29
92402.0,2018-04-04,2023-12-29
92602.0,2008-03-31,2023-12-29
92611.0,2009-12-21,2023-12-29
92614.0,2016-03-04,2023-12-29
92618.0,2008-10-07,2018-06-29
92655.0,1994-07-01,2023-12-29
92709.0,2008-07-01,2018-03-06
92772.0,2016-05-13,2016-05-13
92778.0,2014-08-07,2022-04-08
92890.0,2009-12-21,2017-06-16
92988.0,2009-09-01,2015-03-17
93002.0,2014-05-08,2023-12-29
93089.0,2015-10-08,2023-12-29
93096.0,2012-12-03,2023-12-29
93132.0,2018-10-11,2023-12-29
93159.0,2012-07-31,2016-03-29
93246.0,2021-03-22,2023-12-29
93422.0,2010-07-01,2015-06-30
93429.0,2017-03-01,2023-12-29
93436.0,2020-12-21,2023-12-29
